year,sellingprice
1984,3100.0
1985,3875.0
1986,5000.0
1987,300.0
1989,1962.5
1990,1451.111111111111
1991,925.0
1992,941.869918699187
1993,741.8079096045198
1994,835.5446927374302
1995,870.7201834862385
1996,899.7703412073491
1997,1079.1728212703101
1998,1236.0078125
1999,1492.0787818603112
2000,1744.9326880774306
2001,2132.420659614188
2002,2620.1198458975427
2003,3359.2079556111285
2004,4265.44417534512
2005,4874.887524654832
2006,6061.08363164313
2007,7969.907611459569
2008,9534.257607470616
2009,10460.978394003234
2010,12452.714961902562
2011,15877.035092085614
2012,16604.562005563337
2013,17475.398252910116
2014,20085.645484783796
2015,26088.25653258159
